Date Time Field[G] Current[A] Source Channel
01-06-2022 21-21-17 0 0 "Power supplay" 1
01-06-2022 21-25-06 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-25-10 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-30-10 9998.82 15.3828 "Power supplay" 2
01-06-2022 21-30-14 9998.82 15.3828 "Power supplay" 2
01-06-2022 21-35-16 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-35-20 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-40-21 9998.755 15.3827 "Power supplay" 2
01-06-2022 21-40-24 9998.755 15.3827 "Power supplay" 2
01-06-2022 21-45-26 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-45-30 -9999.015 -15.3831 "Power supplay" 2
01-06-2022 21-50-32 9999.08 15.3832 "Power supplay" 2
01-06-2022 21-50-36 9999.08 15.3832 "Power supplay" 2
01-06-2022 21-53-32 0.845 0.0013 "Power supplay" 2
01-06-2022 21-53-35 0.845 0.0013 "Power supplay" 2
01-06-2022 22-37-24 -19999.245 -57.1407 "Power supplay" 1
01-06-2022 22-37-28 -19999.245 -57.1407 "Power supplay" 1
01-06-2022 22-46-32 1.05 0.003 "Power supplay" 1
01-06-2022 22-46-35 1.05 0.003 "Power supplay" 1
01-06-2022 22-49-27 -9998.69 -15.3826 "Power supplay" 2
01-06-2022 22-49-31 -9998.69 -15.3826 "Power supplay" 2
01-06-2022 22-54-33 9998.95 15.383 "Power supplay" 2
01-06-2022 22-54-37 9998.95 15.383 "Power supplay" 2
01-06-2022 22-59-39 -9998.95 -15.383 "Power supplay" 2
01-06-2022 22-59-45 -9998.95 -15.383 "Power supplay" 2
01-06-2022 23-04-47 9998.95 15.383 "Power supplay" 2
01-06-2022 23-04-50 9998.95 15.383 "Power supplay" 2
01-06-2022 23-09-50 -9998.69 -15.3826 "Power supplay" 2
01-06-2022 23-09-54 -9998.69 -15.3826 "Power supplay" 2
01-06-2022 23-14-56 9998.885 15.3829 "Power supplay" 2
01-06-2022 23-14-59 9998.885 15.3829 "Power supplay" 2
01-06-2022 23-17-52 1.105 0.0017 "Power supplay" 2
01-06-2022 23-17-56 1.105 0.0017 "Power supplay" 2
02-06-2022 11-28-31 59998.9 92.306 "Power supplay" 2
02-06-2022 12-00-55 0 0 "Power supplay" 2
02-06-2022 13-55-39 3000.585 8.5731 "Power supplay" 1
02-06-2022 14-05-14 -0.7 -0.002 "Power supplay" 1
02-06-2022 17-55-23 9999.08 15.3832 "Power supplay" 2
02-06-2022 17-55-27 9999.08 15.3832 "Power supplay" 2
02-06-2022 18-08-56 -9998.885 -15.3829 "Power supplay" 2
02-06-2022 18-09-00 -9998.885 -15.3829 "Power supplay" 2
02-06-2022 18-22-30 9998.885 15.3829 "Power supplay" 2
02-06-2022 18-22-33 9998.885 15.3829 "Power supplay" 2
02-06-2022 18-36-04 -9999.015 -15.3831 "Power supplay" 2
02-06-2022 18-36-08 -9999.015 -15.3831 "Power supplay" 2
02-06-2022 18-49-38 9999.015 15.3831 "Power supplay" 2
02-06-2022 18-49-42 9999.015 15.3831 "Power supplay" 2
02-06-2022 19-03-12 -9998.95 -15.383 "Power supplay" 2
02-06-2022 19-03-15 -9998.95 -15.383 "Power supplay" 2
02-06-2022 19-16-44 9998.755 15.3827 "Power supplay" 2
02-06-2022 19-16-47 9998.755 15.3827 "Power supplay" 2
02-06-2022 19-43-51 19999.14 57.1404 "Power supplay" 1
02-06-2022 19-43-55 19999.14 57.1404 "Power supplay" 1
02-06-2022 20-01-44 0 0 "Power supplay" 1
02-06-2022 20-01-48 0 0 "Power supplay" 1
02-06-2022 20-02-01 9998.95 15.383 "Power supplay" 2
